Month,Salesperson,Region,Sales_Target_INR,New_Customer_Target
2024-01,Aarav Sharma,North,"3,44,694",18
2024-01,Priya Verma,North,"3,68,726",18
2024-01,Karan Malhotra,North,"3,86,276",20
2024-01,Rohan Mehta,West,"3,96,897",20
2024-01,Meera Joshi,West,"3,95,343",18
2024-01,Dev Patel,West,"4,04,063",17
2024-01,Sneha Rao,South,"3,93,545",19
2024-01,Arjun Nair,South,"3,96,998",20
2024-01,Isha Reddy,South,"3,94,292",18
2024-01,Vikram Sen,East,"2,13,146",13
2024-01,Neha Das,East,"2,21,025",12
2024-01,Kavya Roy,East,"2,01,531",13
2024-02,Aarav Sharma,North,"3,93,138",21
2024-02,Priya Verma,North,"3,94,118",18
2024-02,Karan Malhotra,North,"4,04,803",20
2024-02,Rohan Mehta,West,"3,81,556",21
2024-02,Meera Joshi,West,"4,21,274",20
2024-02,Dev Patel,West,"4,31,711",20
2024-02,Sneha Rao,South,"4,40,707",20
2024-02,Arjun Nair,South,"4,44,118",21
2024-02,Isha Reddy,South,"4,11,453",18
2024-02,Vikram Sen,East,"2,34,906",13
2024-02,Neha Das,East,"2,22,535",13
2024-02,Kavya Roy,East,"2,17,411",14
2024-03,Aarav Sharma,North,"4,12,089",21
2024-03,Priya Verma,North,"4,06,069",22
2024-03,Karan Malhotra,North,"4,16,035",22
2024-03,Rohan Mehta,West,"4,45,715",22
2024-03,Meera Joshi,West,"4,23,971",20
2024-03,Dev Patel,West,"4,30,429",23
2024-03,Sneha Rao,South,"4,46,071",23
2024-03,Arjun Nair,South,"4,47,393",22
2024-03,Isha Reddy,South,"4,85,842",24
2024-03,Vikram Sen,East,"2,30,093",13
2024-03,Neha Das,East,"2,42,238",14
2024-03,Kavya Roy,East,"2,49,567",13
2024-04,Aarav Sharma,North,"3,82,205",21
2024-04,Priya Verma,North,"3,81,305",22
2024-04,Karan Malhotra,North,"4,13,808",19
2024-04,Rohan Mehta,West,"4,42,573",19
2024-04,Meera Joshi,West,"4,45,920",23
2024-04,Dev Patel,West,"4,18,158",21
2024-04,Sneha Rao,South,"4,62,172",23
2024-04,Arjun Nair,South,"4,27,797",23
2024-04,Isha Reddy,South,"4,29,527",21
2024-04,Vikram Sen,East,"2,28,708",14
2024-04,Neha Das,East,"2,22,839",12
2024-04,Kavya Roy,East,"2,22,144",13
2024-05,Aarav Sharma,North,"4,30,343",23
2024-05,Priya Verma,North,"3,96,124",21
2024-05,Karan Malhotra,North,"4,29,791",22
2024-05,Rohan Mehta,West,"4,21,738",20
2024-05,Meera Joshi,West,"4,69,506",22
2024-05,Dev Patel,West,"4,23,336",22
2024-05,Sneha Rao,South,"4,56,273",22
2024-05,Arjun Nair,South,"4,39,775",20
2024-05,Isha Reddy,South,"4,75,438",22
2024-05,Vikram Sen,East,"2,44,852",15
2024-05,Neha Das,East,"2,54,675",14
2024-05,Kavya Roy,East,"2,32,874",13
2024-06,Aarav Sharma,North,"4,57,390",23
2024-06,Priya Verma,North,"4,29,570",23
2024-06,Karan Malhotra,North,"4,44,344",22
2024-06,Rohan Mehta,West,"4,60,830",22
2024-06,Meera Joshi,West,"4,87,179",22
2024-06,Dev Patel,West,"4,58,705",24
2024-06,Sneha Rao,South,"5,01,829",22
2024-06,Arjun Nair,South,"4,62,116",22
2024-06,Isha Reddy,South,"4,69,838",22
2024-06,Vikram Sen,East,"2,52,596",15
2024-06,Neha Das,East,"2,53,017",15
2024-06,Kavya Roy,East,"2,39,127",15
2024-07,Aarav Sharma,North,"4,03,005",21
2024-07,Priya Verma,North,"4,17,929",20
2024-07,Karan Malhotra,North,"4,09,309",23
2024-07,Rohan Mehta,West,"4,26,140",20
2024-07,Meera Joshi,West,"4,32,601",24
2024-07,Dev Patel,West,"4,56,765",22
2024-07,Sneha Rao,South,"4,49,974",20
2024-07,Arjun Nair,South,"4,36,424",20
2024-07,Isha Reddy,South,"4,82,526",21
2024-07,Vikram Sen,East,"2,36,782",15
2024-07,Neha Das,East,"2,26,599",13
2024-07,Kavya Roy,East,"2,39,883",15
2024-08,Aarav Sharma,North,"4,40,358",21
2024-08,Priya Verma,North,"4,70,389",21
2024-08,Karan Malhotra,North,"4,65,798",24
2024-08,Rohan Mehta,West,"4,39,634",23
2024-08,Meera Joshi,West,"4,77,482",24
2024-08,Dev Patel,West,"4,78,579",22
2024-08,Sneha Rao,South,"4,98,270",25
2024-08,Arjun Nair,South,"5,16,730",24
2024-08,Isha Reddy,South,"5,00,368",22
2024-08,Vikram Sen,East,"2,66,139",16
2024-08,Neha Das,East,"2,41,665",15
2024-08,Kavya Roy,East,"2,60,634",15
2024-09,Aarav Sharma,North,"4,42,523",25
2024-09,Priya Verma,North,"4,56,940",27
2024-09,Karan Malhotra,North,"4,44,835",25
2024-09,Rohan Mehta,West,"4,86,424",27
2024-09,Meera Joshi,West,"5,13,984",26
2024-09,Dev Patel,West,"5,12,304",25
2024-09,Sneha Rao,South,"4,93,678",26
2024-09,Arjun Nair,South,"5,42,625",25
2024-09,Isha Reddy,South,"5,12,367",23
2024-09,Vikram Sen,East,"2,59,346",15
2024-09,Neha Das,East,"2,79,804",15
2024-09,Kavya Roy,East,"2,70,016",15
2024-10,Aarav Sharma,North,"5,70,667",28
2024-10,Priya Verma,North,"5,23,317",27
2024-10,Karan Malhotra,North,"5,53,860",29
2024-10,Rohan Mehta,West,"5,88,636",28
2024-10,Meera Joshi,West,"5,69,520",29
2024-10,Dev Patel,West,"5,59,820",30
2024-10,Sneha Rao,South,"5,90,338",29
2024-10,Arjun Nair,South,"5,90,819",31
2024-10,Isha Reddy,South,"5,69,696",28
2024-10,Vikram Sen,East,"3,17,857",18
2024-10,Neha Das,East,"3,22,705",19
2024-10,Kavya Roy,East,"3,01,103",17
